disease,symptoms,specialist
Chronic urticaria,"persistent hives, itching for months",Allergist/Immunologist
Mastocytosis,"skin lesions, flushing, abdominal pain for a few weeks",Allergist/Immunologist
Primary immunodeficiency,"recurrent infections, fatigue for months",Allergist/Immunologist
Allergic conjunctivitis,"red itchy eyes, tearing for a few weeks",Allergist/Immunologist
Eosinophilic esophagitis,"difficulty swallowing, food impaction for months",Allergist/Immunologist
Hereditary angioedema,"recurrent swelling, abdominal pain for a few weeks",Allergist/Immunologist
Allergic bronchopulmonary aspergillosis,"wheezing, cough for months",Allergist/Immunologist
Atopic dermatitis,"chronic itchy rash, flares for a few weeks",Allergist/Immunologist
Anaphylactic shock,"sudden breathing difficulty, hypotension for 2 days",Allergist/Immunologist
Diabetic retinopathy,"blurred vision, floaters for months",Ophthalmologist
Retinal vein occlusion,"sudden vision loss, swelling for a few weeks",Ophthalmologist
Optic neuritis,"sudden vision loss, eye pain for 2 days",Ophthalmologist
Strabismus,"misaligned eyes, double vision for months",Ophthalmologist
Amblyopia,"reduced vision in one eye for a few weeks",Ophthalmologist
Presbyopia,"difficulty reading, eye strain for months",Ophthalmologist
Pterygium,"growth on eye, irritation for a few weeks",Ophthalmologist
Retinitis pigmentosa,"night blindness, peripheral vision loss for months",Ophthalmologist
Ocular hypertension,"high eye pressure, no vision loss for a few weeks",Ophthalmologist
Chalazion,"eyelid swelling, painless lump for 2 days",Ophthalmologist
Hypertension,"high blood pressure, headaches for months",General physician
Diabetes,"frequent urination, thirst for a few weeks",General physician
Respiratory infection,"fever, cough for 2 days",General physician
Sinusitis,"nasal congestion, facial pain for months",General physician
Back pain,"chronic back ache, stiffness for a few weeks",General physician
Abdominal pain,"nausea, cramping for 2 days",General physician
Headache,"migraine, sensitivity to light for months",General physician
Fever,"high temperature, chills for a few weeks",General physician
Chronic fatigue,"persistent tiredness for months",General physician
Digestive issues,"bloating, indigestion for a few weeks",General physician
Common cold,"sneezing, runny nose for 2 days",General physician
Flu,"body aches, fever for months",General physician
Bronchitis,"cough with mucus for a few weeks",General physician
Allergies,"itchy eyes, sneezing for 2 days",General physician
Arthritis,"joint swelling, pain for months",General physician
Laparoscopic surgery,"abdominal pain, suspected mass for a few weeks",General Surgeon
Thyroid surgery,"neck swelling, difficulty swallowing for months",General Surgeon
Breast surgery,"painless breast lump for a few weeks",General Surgeon
Vascular surgery,"leg swelling, pain for months",General Surgeon
Bowel resection,"chronic abdominal pain, bleeding for a few weeks",General Surgeon
Appendicitis,"acute abdominal pain, fever for 2 days",General Surgeon
Gallbladder surgery,"upper abdominal pain, nausea for months",Gastroenterologist
Hernia repair,"inguinal bulge, pain for a few weeks",General Surgeon
Colostomy,"rectal bleeding, obstruction for months",General Surgeon
Wound repair,"non-healing wound, infection for a few weeks",General Surgeon
Neonatal jaundice,"yellowing of skin, eyes in newborn for 2 days",Pediatrics
Pyloric stenosis,"vomiting, poor feeding in infant for a few weeks",Pediatrics
Congenital heart defect,"cyanosis, poor feeding in infant for months",Pediatrics
Cystic fibrosis,"recurrent lung infections, poor growth for a few weeks",Pediatrics
Developmental delay,"delayed milestones, poor coordination for months",Pediatrics
Scoliosis in children,"uneven shoulders, back pain for a few weeks",Pediatrics
Epilepsy in children,"recurrent seizures, staring spells for months",Pediatrics
Autism,"delayed speech, social withdrawal for a few weeks",Pediatrics
Cerebral palsy in children,"motor delay, spasticity for months",Pediatrics
Allergic reaction,"rash, swelling in a child for 2 days",Pediatrics
Borderline personality disorder,"unstable mood, impulsivity for months",Psychiatry
Postpartum depression,"low mood, fatigue after childbirth for a few weeks",Psychiatry
Seasonal affective disorder,"low mood, lethargy in winter for months",Psychiatry
Dissociative disorder,"identity confusion, memory gaps for a few weeks",Psychiatry
Delirium,"acute confusion, agitation for 2 days",Psychiatry
Anorexia nervosa,"severe weight loss, food avoidance for months",Psychiatry
Bulimia nervosa,"binge eating, purging for a few weeks",Psychiatry
Binge eating disorder,"uncontrolled eating, guilt for months",Psychiatry
Agoraphobia,"fear of open spaces, avoidance for a few weeks",Psychiatry
Hypochondriasis,"excessive health anxiety for months",Psychiatry
Dental implant failure,"pain, swelling around implant for a few weeks",Dentistry
Oral lichen planus,"white patches, mouth pain for months",Dentistry
Cleft palate,"difficulty feeding, speech issues for a few weeks",Dentistry
Tooth sensitivity,"sharp pain with cold drinks for 2 days",Dentistry
Pericoronitis,"pain around wisdom tooth, swelling for months",Dentistry
Cracked tooth,"pain when chewing, sensitivity for a few weeks",Dentistry
Dental abscess,"swelling, fever, tooth pain for 2 days",Dentistry
Oral candidiasis,"white patches, soreness for months",Dentistry
Tongue ulcer,"painful sore, difficulty eating for a few weeks",Dentistry
Gum abscess,"swelling, pain in gums for 2 days",Dentistry
Aortic dissection,"severe chest pain, tearing sensation for 2 days",Cardiology
Pulmonary edema,"severe shortness of breath, frothy sputum for a few weeks",Cardiology
Heart block,"fatigue, slow heart rate for months",Cardiology
Cardiac arrest,"sudden collapse, loss of consciousness for 2 days",Cardiology
Myocarditis,"fever, chest pain, fatigue for a few weeks",Cardiology
Aortic stenosis,"chest pain, syncope for months",Cardiology
Mitral regurgitation,"shortness of breath, fatigue for a few weeks",Cardiology
Vascular disease,"leg pain, claudication for months",Cardiology
Cardiogenic shock,"hypotension, cold sweats for 2 days",Cardiology
Heart valve disease,"shortness of breath, swelling for a few weeks",Cardiology
Shingles,"painful rash, blisters for a few weeks",Dermatology
Cellulitis,"red, swollen, painful skin for 2 days",Dermatology
Erythroderma,"widespread red skin, scaling for months",Dermatology
Pemphigus,"blistering skin, painful sores for a few weeks",Dermatology
Dermatitis herpetiformis,"itchy blisters, rash for months",Dermatology
Scabies,"itchy rash, worse at night for a few weeks",Dermatology
Tinea corporis,"ring-shaped rash, itching for 2 days",Dermatology
Pyoderma,"pus-filled sores, pain for a few weeks",Dermatology
Erysipelas,"red, swollen, painful skin for months",Dermatology
Lichen simplex,"chronic itchy thickened skin for a few weeks",Dermatology
Miscarriage,"vaginal bleeding, cramping for 2 days",Obstetrics/Gynecology
Postpartum hemorrhage,"heavy bleeding after delivery for a few weeks",Obstetrics/Gynecology
Ovarian torsion,"severe pelvic pain, nausea for 2 days",Obstetrics/Gynecology
Uterine rupture,"severe abdominal pain, bleeding for a few weeks",Obstetrics/Gynecology
Endometrial cancer,"abnormal vaginal bleeding for months",Obstetrics/Gynecology
Vaginal prolapse,"pelvic pressure, bulging sensation for a few weeks",Obstetrics/Gynecology
Cervical polyp,"bleeding after intercourse, spotting for months",Obstetrics/Gynecology
Menorrhagia,"heavy menstrual bleeding, fatigue for a few weeks",Obstetrics/Gynecology
Adenomyosis,"painful periods, heavy bleeding for months",Obstetrics/Gynecology
Chlamydia,"vaginal discharge, pelvic pain for a few weeks",Obstetrics/Gynecology
Hydrocephalus,"headache, nausea, vision changes for months",Neurology
Encephalitis,"fever, confusion, seizures for a few weeks",Neurology
Peripheral neuropathy,"numbness, tingling, burning pain for months",Neurology
Restless leg syndrome,"urge to move legs, discomfort for a few weeks",Neurology
Tremor,"involuntary shaking, worse with movement for months",Neurology
Spinal cord injury,"loss of movement, sensation for a few weeks",Neurology
Brain hemorrhage,"sudden headache, loss of consciousness for 2 days",Neurology
Cerebral aneurysm,"severe headache, neck stiffness for months",Neurology
Myopathy,"muscle weakness, pain for a few weeks",Neurology
Neuromuscular disorder,"muscle cramps, weakness for months",Neurology
Hip fracture,"severe hip pain, inability to walk for 2 days",Orthopedics
Ankle sprain,"swelling, pain, bruising for a few weeks",Orthopedics
Spinal fracture,"back pain, deformity after trauma for months",Orthopedics
Shoulder impingement,"pain with overhead movement for a few weeks",Orthopedics
Knee osteoarthritis,"joint stiffness, pain for months",Orthopedics
Ganglion cyst,"wrist lump, discomfort for a few weeks",Orthopedics
Bone tumor,"bone pain, swelling for months",Orthopedics
Stress fracture,"localized pain, worse with activity for a few weeks",Orthopedics
Tendon rupture,"acute pain, loss of function for 2 days",Orthopedics
Joint infection,"red, swollen, painful joint for a few weeks",Orthopedics
Cholesteatoma,"ear discharge, hearing loss for months",ENT Specialist
Acoustic neuroma,"hearing loss, tinnitus, balance issues for a few weeks",ENT Specialist
Salivary gland infection,"swelling, pain near jaw for 2 days",ENT Specialist
Thyroid nodule,"neck mass, hoarseness for months",ENT Specialist
Laryngeal cancer,"hoarseness, throat pain for a few weeks",ENT Specialist
Nasal tumor,"nasal obstruction, bleeding for months",ENT Specialist
Ear trauma,"ear pain, bleeding after injury for 2 days",ENT Specialist
Peritonsillar abscess,"sore throat, difficulty swallowing for a few weeks",ENT Specialist
Vocal cord paralysis,"hoarseness, weak voice for months",ENT Specialist
Sinus tumor,"facial pain, nasal obstruction for a few weeks",ENT Specialist
Goiter,"neck swelling, difficulty swallowing for months",Endocrinologist
Hypopituitarism,"fatigue, hormonal deficiency for a few weeks",Endocrinologist
Thyroid storm,"fever, rapid heart rate, agitation for 2 days",Endocrinologist
Adrenal crisis,"hypotension, fatigue, dehydration for a few weeks",Endocrinologist
Parathyroid adenoma,"bone pain, high calcium for months",Endocrinologist
Conn’s syndrome,"high blood pressure, low potassium for a few weeks",Endocrinologist
Carcinoid syndrome,"flushing, diarrhea, wheezing for months",Endocrinologist
Multiple endocrine neoplasia,"tumors in glands, hormonal issues for a few weeks",Endocrinologist
Hypoglycemic coma,"confusion, seizures, low blood sugar for 2 days",Endocrinologist
Diabetic ketoacidosis,"nausea, vomiting, high blood sugar for a few weeks",Endocrinologist
Peptic ulcer,"epigastric pain, nausea for months",Gastroenterologist
Esophageal cancer,"difficulty swallowing, weight loss for a few weeks",Gastroenterologist
Pancreatic cancer,"jaundice, abdominal pain for months",Gastroenterologist
Cholelithiasis,"gallstone pain, nausea for a few weeks",Gastroenterologist
Hepatic abscess,"fever, right upper quadrant pain for 2 days",Gastroenterologist
Chronic hepatitis,"fatigue, jaundice for months",Gastroenterologist
Gastrointestinal bleeding,"blood in stool, fatigue for a few weeks",Gastroenterologist
Achalasia,"difficulty swallowing, regurgitation for months",Gastroenterologist
Biliary obstruction,"jaundice, dark urine for a few weeks",Gastroenterologist
Enterocolitis,"diarrhea, fever, abdominal pain for 2 days",Gastroenterologist
Acute respiratory distress syndrome,"severe shortness of breath, hypoxia for 2 days",Pulmonologist
Pulmonary embolism,"sudden chest pain, shortness of breath for a few weeks",Pulmonologist
Lung infection,"fever, cough, chest pain for months",Pulmonologist
Pleural infection,"chest pain, fever, shortness of breath for a few weeks",Pulmonologist
Pneumoconiosis,"chronic cough, shortness of breath for months",Pulmonologist
Lung metastasis,"cough, weight loss for a few weeks",Pulmonologist
Bronchial asthma,"wheezing, shortness of breath for months",Pulmonologist
Chronic cough,"persistent cough, throat irritation for a few weeks",Pulmonologist
Pulmonary edema,"shortness of breath, frothy sputum for 2 days",Pulmonologist
Lung tumor,"chest pain, cough for months",Pulmonologist
Bladder tumor,"blood in urine, pelvic pain for a few weeks",Urologist
Ureteral obstruction,"flank pain, reduced urine output for months",Urologist
Prostate hypertrophy,"difficulty urinating, frequent urination for a few weeks",Urologist
Testicular injury,"pain, swelling after trauma for 2 days",Urologist
Urethral injury,"blood in urine, pain with urination for a few weeks",Urologist
Bladder stones,"painful urination, blood in urine for months",Urologist
Renal colic,"severe flank pain, nausea for a few weeks",Urologist
Urologic cancer,"pelvic pain, blood in urine for months",Urologist
Epididymal cyst,"scrotal lump, discomfort for a few weeks",Urologist
Ureteral reflux,"recurrent infections, flank pain for months",Urologist
Lupus nephritis,"swelling, proteinuria for a few weeks",Nephrologist
Renal vein thrombosis,"flank pain, blood in urine for months",Nephrologist
Acute tubular necrosis,"reduced urine output, fatigue for 2 days",Nephrologist
Interstitial nephritis,"fever, rash, reduced kidney function for a few weeks",Nephrologist
Renal infarction,"sudden flank pain, blood in urine for months",Nephrologist
Amyloidosis,"swelling, proteinuria for a few weeks",Nephrologist
Nephrocalcinosis,"kidney stones, flank pain for months",Nephrologist
Renal abscess,"fever, flank pain for a few weeks",Nephrologist
Glomerular disease,"blood in urine, swelling for months",Nephrologist
Nephrotic edema,"severe swelling, low protein for a few weeks",Nephrologist
Chronic leukemia,"fatigue, night sweats for months",Hematologist
Acute leukemia,"fever, bruising, fatigue for a few weeks",Hematologist
Bone marrow failure,"fatigue, infections for months",Hematologist
Hemochromatosis,"fatigue, joint pain for a few weeks",Hematologist
Lymphadenopathy,"swollen nodes, fever for months",Hematologist
Sepsis,"blood clotting issues, fever for a few weeks",Hematologist
Thrombotic disorder,"clotting, swelling for months",Hematologist
Hemorrhagic disorder,"excessive bleeding, bruising for a few weeks",Hematologist
Blood transfusion reaction,"fever, chills after transfusion for 2 days",Hematologist
Myeloproliferative disorder,"fatigue, enlarged spleen for months",Hematologist
Rheumatoid lung,"joint pain, shortness of breath for a few weeks",Rheumatologist
Still’s disease,"fever, rash, joint pain for months",Rheumatologist
Felty’s syndrome,"spleen enlargement, joint pain for a few weeks",Rheumatologist
Antiphospholipid syndrome,"clotting, recurrent miscarriages for months",Rheumatologist
Sarcoidosis,"joint pain, skin lesions for a few weeks",Rheumatologist
Reactive arthritis,"joint swelling, eye inflammation for months",Rheumatologist
Palindromic rheumatism,"intermittent joint pain for a few weeks",Rheumatologist
Ehlers-Danlos syndrome,"joint hypermobility, skin fragility for months",Rheumatologist
Marfan syndrome,"joint pain, tall stature for a few weeks",Rheumatologist
Osteogenesis imperfecta,"frequent fractures, bone pain for months",Rheumatologist
Angioedema,"swelling of face, lips after allergen exposure for 2 days",Allergist/Immunologist
Chronic urticaria,"persistent hives, itching for months",Allergist/Immunologist
Mastocytosis,"skin lesions, flushing, abdominal pain for a few weeks",Allergist/Immunologist
Primary immunodeficiency,"recurrent infections, fatigue for months",Allergist/Immunologist
Allergic conjunctivitis,"red itchy eyes, tearing for a few weeks",Allergist/Immunologist
Eosinophilic esophagitis,"difficulty swallowing, food impaction for months",Allergist/Immunologist
Hereditary angioedema,"recurrent swelling, abdominal pain for a few weeks",Allergist/Immunologist
Allergic bronchopulmonary aspergillosis,"wheezing, cough for months",Allergist/Immunologist
Atopic dermatitis,"chronic itchy rash, flares for a few weeks",Allergist/Immunologist
Anaphylactic shock,"sudden breathing difficulty, hypotension for 2 days",Allergist/Immunologist
Ocular melanoma,"vision changes, eye pain for months",Ophthalmologist
Retinal artery occlusion,"sudden vision loss, no pain for a few weeks",Ophthalmologist
Eye trauma,"eye pain, redness after injury for 2 days",Ophthalmologist
Orbital cellulitis,"eye swelling, pain for a few weeks",Ophthalmologist
Glaucoma crisis,"severe eye pain, vision loss for 2 days",Ophthalmologist
Iritis,"eye pain, light sensitivity for months",Ophthalmologist
Scleritis,"severe eye pain, redness for a few weeks",Ophthalmologist
Optic atrophy,"progressive vision loss for months",Ophthalmologist
Conjunctival tumor,"eye growth, irritation for a few weeks",Ophthalmologist
Eyelid tumor,"painless lump, eyelid changes for months",Ophthalmologist
